Location
"`Abasan al Kabirah, Gaza Strip"
"Juanacatlan, Mexico"
"Juangriego, Venezuela"
"Juanjui, Peru"
"Juan-les-Pins, France"
"Juara, Brazil"
"Juarez, Mexico"
"Juatuba, Brazil"
"Juayua, El Salvador"
"Juazeirinho, Brazil"
"Juazeiro do Norte, Brazil"
"Juazeiro, Brazil"
"Juba, South Sudan"
"Juban, Philippines"
"Jucas, Brazil"
"Jucati, Brazil"
"Juchen, Germany"
"Juchipila, Mexico"
"Juchique de Ferrer, Mexico"
"Juchitan de Zaragoza, Mexico"
"Juchitepec, Mexico"
"Jucuapa, El Salvador"
"Jucuaran, El Salvador"
"Jucurucu, Brazil"
"Jucurutu, Brazil"
"Judenburg, Austria"
"Jugial, India"
"Juigalpa, Nicaragua"
"Juina, Brazil"
"Juiz de Fora, Brazil"
"Jujharpur, India"
"Jujutla, El Salvador"
"Jukal, India"
"Jula Buzarg, India"
"Juli, Peru"
"Juliaca, Peru"
"Julianadorp, Netherlands"
"Julich, Germany"
"Julio de Castilhos, Brazil"
"Julita, Philippines"
"Julu, China"
"Juma Shahri, Uzbekistan"
"Jumilla, Spain"
"Jumla, Nepal"
"Jumri Tilaiya, India"
"Jun Bel, China"
"Junagadh, India"
"Jun'an, China"
"Juncos, Puerto Rico"
"Junction City, United States"
"Jundiai, Brazil"
"Juneau, United States"
"Junik, Kosovo"
"Junin de los Andes, Argentina"
"Junin, Argentina"
"Junin, Colombia"
"Junin, Peru"
"Junnar, India"
"Junnardev, India"
"Junqan, Iran"
"Junqueiro, Brazil"
"Junqueiropolis, Brazil"
"Jupi, Brazil"
"Jupiter Farms, United States"
"Jupiter, United States"
"Juprelle, Belgium"
"Juquia, Brazil"
"Juquitiba, Brazil"
"Jurado, Colombia"
"Juraqan, Iran"
"Jurawanpur Karari, India"
"Jurbarkas, Lithuania"
"Jurbise, Belgium"
"Jurema, Brazil"
"Jurh, China"
"Juripiranga, Brazil"
"Jurmala, Latvia"
"Jurong, China"
"Jurovski Dol, Slovenia"
"Jursinci, Slovenia"
"Juru, Brazil"
"Jurua, Brazil"
"Juruaia, Brazil"
"Jurupa Valley, United States"
"Juruti, Brazil"
"Jussara, Brazil"
"Jussara, Brazil"
"Justice, United States"
"Justo Daract, Argentina"
"Jutai, Brazil"
"Juterbog, Germany"
"Jutiapa, Guatemala"
"Juticalpa, Honduras"
"Juventino Rosas, Mexico"
"Juvignac, France"
"Juvisy-sur-Orge, France"
"Jwaneng, Botswana"
"Jyllinge, Denmark"
"Jyvaskyla, Finland"
"Jyvaskylan Maalaiskunta, Finland"
"Kaabong, Uganda"
"Kaarina, Finland"
"Kaarst, Germany"
"Kaatsheuvel, Netherlands"
"Kabacan, Philippines"
"Kabala, Sierra Leone"
"Kabale, Uganda"
"Kabalo, Congo (Kinshasa)"
"Kabanga, Tanzania"
"Kabankalan, Philippines"
"Kabarnet, Kenya"
"Kabarore, Rwanda"
"Kabasalan, Philippines"
"Kabatas, Turkey"
"Kabayan, Philippines"
"Kabbur, India"
"Kaberamaido, Uganda"
"Kabinda, Congo (Kinshasa)"
"Kabira, India"
"Kabirpur, India"
"Kabirwala, Pakistan"
"Kabo, Central African Republic"
"Kaboila, Mali"
"Kaboua, Benin"
"Kabudarahang, Iran"
"Kabuga, Rwanda"
"Kabugao, Philippines"
"Kabul, Afghanistan"
"Ka-Bungeni, South Africa"
"Kabwe, Zambia"
"Kac, Serbia"
"Kacanik, Kosovo"
"Kachavaram, India"
"Kachchippalli, India"
"Kachhari, India"
"Kachkanar, Russia"
"Kachnar, India"
"Kadachchinallur, India"
"Kadaiyam, India"
"Kadaiyanallur, India"
"Kadakola, India"
"Kadaladi, India"
"Kadalur, India"
"Kadama, Uganda"
"Kadamakudi, India"
"Kadamalaikkundu, India"
"Kadambanad, India"
"Kadan, Czechia"
"Kadanadu, India"
"Kadanganeri, India"
"Kadappuram, India"
"Kadattur, India"
"Kadavur, India"
"Kade, Ghana"
"Kadena, Japan"
"Kadi, India"
"Kadiana, Mali"
"Kadiapattanam, India"
"Kadikkad, India"
"Kadikoy, Turkey"
"Kadimetla, India"
"Kadinamkulam, India"
"Kadingilan, Philippines"
"Kadinhani, Turkey"
"Kadiolo, Mali"
"Kadiri, India"
"Kadiria, Algeria"
"Kadirli, Turkey"
"Kadiyadda, India"
"Kadiyam, India"
"Kadiyampatti, India"
"Kadod, India"
"Kadogawa, Japan"
"Kadoli, India"
"Kadoma, Japan"
"Kadoma, Zimbabwe"
"Kadrabad, India"
"Kadriye, Turkey"
"Kadugli, Sudan"
"Kaduna, Nigeria"
"Kadungapuram, India"
"Kadungutt, India"
"Kadur Sahib, India"
"Kadur, India"
"Kaduturutti, India"
"Kadwa, India"
"Kaech'on, Korea, North"
"Kaedi, Mauritania"
"Kaele, Cameroon"
"Kaeng Khoi, Thailand"
"Kaeng Khro, Thailand"
"Kaesong, Korea, North"
"Kaffrine, Senegal"
"Kafia Kingi, South Sudan"
"Kafr `Awan, Jordan"
"Kafr ad Dawwar, Egypt"
"Kafr al Battikh, Egypt"
"Kafr al Kurdi, Egypt"
"Kafr al Ma', Jordan"
"Kafr ash Shaykh, Egypt"
"Kafr az Zayyat, Egypt"
"Kafr Batna, Syria"
"Kafr Buhum, Syria"
"Kafr Laha, Syria"
"Kafr Nabudah, Syria"
"Kafr Nubl, Syria"
"Kafr Qasim, Israel"
"Kafr Ruma, Syria"
"Kafr Sa`d, Egypt"
"Kafr Sajnah, Syria"
"Kafr Saqr, Egypt"
"Kafr Shukr, Egypt"
"Kafr Takharim, Syria"
"Kafr Zayta, Syria"
"Kafue, Zambia"
"Kaga Bandoro, Central African Republic"
"Kaga, Japan"
"Kagadi, Uganda"
"Kagal, India"
"Kagalnik, Russia"
"Kagamino, Japan"
"Kagithane, Turkey"
"Kagizman, Turkey"
"Kaglipur, India"
"Kagoshima, Japan"
"Kaguchi, India"
"Kagvad, India"
"Kahama, Tanzania"
"Kahan, Pakistan"
"Kaharlyk, Ukraine"
"Kahemba, Congo (Kinshasa)"
"Kahhale, Lebanon"
"Kahla, India"
"Kahnuj, Iran"
"Kahoku, Japan"
"Kahoku, Japan"
"Kahramanmaras, Turkey"
"Kahrizak, Iran"
"Kahror Pakka, Pakistan"
"Kahta, Turkey"
"Kahului, United States"
"Kai, Japan"
"Kai, Mali"
"Kaifeng Chengguanzhen, China"
"Kaihua, China"
"Kaikalur, India"
"Kaikaram, India"
"Kaiken, Argentina"
"Kaikoura, New Zealand"
"Kailahun, Sierra Leone"
"Kailaras, India"
"Kailashahar, India"
"Kailua, United States"
"Kaimana, Indonesia"
"Kaimati, India"
"Kaimuh, India"
"Kaintragarh, India"
"Kaippakancheri, India"
"Kaipram, India"
"Kairaki, New Zealand"
"Kairana, India"
"Kairouan, Tunisia"
"Kais, Algeria"
"Kaisariani, Greece"
"Kaiserslautern, Germany"
"Kaisiadorys, Lithuania"
"Kaita, Japan"
"Kaitaia, New Zealand"
"Kaith, India"
"Kaithahi, India"
"Kaithal, India"
"Kaithinia, India"
"Kaithwar, India"
"Kaiwen, China"
"Kaiyuan, China"
"Kaiyuan, China"
"Kaiyuan, China"
"Kaiyun, China"
"Kaizu, Japan"
"Kaizuka, Japan"
"Kajaani, Finland"
"Kajang, Malaysia"
"Kajha, India"
"Kajhi Hridenagar, India"
"Kaji, China"
"Kajiado, Kenya"
"Kajo Kaji, South Sudan"
"Kajur, India"
"Kaka, Turkmenistan"
"Kakalur, India"
"Kakamas, South Africa"
"Kakamega, Kenya"
"Kakamigahara, Japan"
"Kakan, India"
"Kakarati, India"
"Kakata, Liberia"
"Kakching Khunou, India"
"Kakching, India"
"Kakdwip, India"
"Kakegawa, Japan"
"Kakhandiki, India"
"Kakhovka, Ukraine"
"Kakinada, India"
"Kakira, Uganda"
"Kakiri, Uganda"
"Kakkalapalle, India"
"Kakkat, India"
"Kako, India"
"Kakogawacho-honmachi, Japan"
"Kakonko, Tanzania"
"Kakrala, India"
"Kakraul, India"
"Kakuda, Japan"
"Kakuma, Kenya"
"Kakumiro, Uganda"
"Kakunodatemachi, Japan"
"Kala Chay, Iran"
"Kala Diara, India"
"Kalaa Srira, Tunisia"
"Kalabahi, Indonesia"
"Kalabo, Zambia"
"Kalach, Russia"
"Kalachinsk, Russia"
"Kalach-na-Donu, Russia"
"Kaladgi, India"
"Kalafotsy, Madagascar"
"Kalaidasht, Tajikistan"
"Kalaikunda, India"
"Kalaiya, Nepal"
"Kalaiyamputtur, India"
"Kalajoki, Finland"
"Kalakada, India"
"Kalakeri, India"
"Kalaki, Uganda"
"Kalakkadu, India"
"Kalale, Benin"
"Kalaleh, Iran"
"Kalamansig, Philippines"
"Kalamaria, Greece"
"Kalamasseri, India"
"Kalamata, Greece"
"Kalamazoo, United States"
"Kalamboli, India"
"Kalamner, India"
"Kalampaka, Greece"
"Kalamula, India"
"Kalanadu, India"
"Kalanak, Tajikistan"
"Kalanaur, India"
"Kalanchak, Ukraine"
"Kalandy, Madagascar"
"Kalangala, Uganda"
"Kalanjur, India"
"Kalappalangulam, India"
"Kalappatti, India"
"Kalar, Iraq"
"Kalardasht, Iran"
"Kalaruch, India"
"Kalas, India"
"Kalasa, India"
"Kalasin, Thailand"
"Kalat, Pakistan"
"Kalateh-ye Mir Ab, Iran"
"Kalaun, Nepal"
"Kalavad, India"
"Kalavai, India"
"Kalavapudi, India"
"Kalavryta, Greece"
"Kalawana, Sri Lanka"
"Kalawit, Philippines"
"Kalayaan, Philippines"
"Kalayapuram, India"
"Kalba, United Arab Emirates"
"Kalbacar, Azerbaijan"
"Kalbarri, Australia"
"Kalchini, India"
"Kaldenkirchen, Germany"
"Kaldsletta, Norway"
"Kale, Turkey"
"Kalecik, Turkey"
"Kalemie, Congo (Kinshasa)"
"Kaler, India"
"Kaleyanpur, India"
"Kaleybar, Iran"
"Kalfou, Cameroon"
"Kalghatgi, India"
"Kalgi, India"
"Kalgoorlie, Australia"
"Kali, India"
"Kalianpur, India"
"Kalibo, Philippines"
"Kalicherla, India"
"Kaliganj, India"
"Kalihati, Bangladesh"
"Kalikapur, India"
"Kalikavu, India"
"Kalikiri, India"
"Kalilangan, Philippines"
"Kalima, Congo (Kinshasa)"
"Kalimala, India"
"Kalimpong, India"
"Kalinagar, India"
"Kalinagar, India"
"Kalingalan Caluang, Philippines"
"Kalingiyam, India"
"Kaliningrad, Russia"
"Kalininsk, Russia"
"Kalinkavichy, Belarus"
"Kalipatnam, India"
"Kaliro, Uganda"
"Kalisizo, Uganda"
"Kalispell, United States"
"Kalisz, Poland"
"Kaliyaganj, India"
"Kalkar, Germany"
"Kalkara, Malta"
"Kalkuni, India"
"Kall, Germany"
"Kallad, India"
"Kalladai, India"
"Kallakkudi, India"
"Kallakkurichchi, India"
"Kallamalai, India"
"Kallanai, India"
"Kallar, India"
"Kallayi, India"
"Kalleli, India"
"Kalleribhagam, India"
"Kalli Pachchhim, India"
"Kallidaikurichi, India"
"Kallithea, Greece"
"Kalliyassheri, India"
"Kallupatti, India"
"Kallur, India"
"Kallur, India"
"Kallur, India"
"Kalluru, India"
"Kalmar, Sweden"
"Kalmiuske, Ukraine"
"Kalmthout, Belgium"
"Kalmunai, Sri Lanka"
"Kalna, India"
"Kalocsa, Hungary"
"Kalol, India"
"Kalol, India"
"Kalongo, Uganda"
"Kalpakathukonam, India"
"Kalpatta, India"
"Kalpi, India"
"Kalpitiya, Sri Lanka"
"Kaltan, Russia"
"Kaltenkirchen, Germany"
"Kalu Khan, Pakistan"
"Kaluderica, Serbia"
"Kaluga, Russia"
"Kalugumalai, India"
"Kalundborg, Denmark"
"Kalungu, Uganda"
"Kalush, Ukraine"
"Kalutara, Sri Lanka"
"Kaluvaya, India"
"Kalvarija, Lithuania"
"Kalvarpatti, India"
"Kalwakurti, India"
"Kalyan, India"
"Kalyandrug, India"
"Kalyani, India"
"Kalyanpur Bamaiya, India"
"Kalyanpur, India"
"Kalyazin, Russia"
"Kalymnos, Greece"
"Kalynivka, Ukraine"
"Kalyvia Thorikou, Greece"
"Kamabougou, Mali"
"Kamagaya, Japan"
"Kamaishi, Japan"
"Kamakhyanagar, India"
"Kamakurayama, Japan"
"Kamalapuram, India"
"Kamalapuram, India"
"Kamalapuram, India"
"Kamalapuram, India"
"Kamalapuram, India"
"Kamalasai, Thailand"
"Kamalganj, India"
"Kamalia, Pakistan"
"Kamalnagar, India"
"Kamalshahr, Iran"
"Kamamaung, Burma"
"Kaman, Turkey"
"Kamareddipet, India"
"Kamargani, India"
"Kamarhati, India"
"Kamata, Japan"
"Kamatero, Greece"
"Kamatgi, India"
"Kamavarapukota, India"
"Kamayakkavundanpatti, India"
"Kambaduru, India"
"Kambainellur, India"
"Kambaliyampatti, India"
"Kambam, India"
"Kambaneri Pudukkudi, India"
"Kambar, Pakistan"
"Kambarka, Russia"
"Kambhampadu, India"
"Kambhampadu, India"
"Kambia, Sierra Leone"
"Kambia, Sierra Leone"
"Kambila, Mali"
"Kambla, India"
"Kambove, Congo (Kinshasa)"
"Kambur, India"
"Kamdoli, India"
"Kameda-honcho, Japan"
"Kamen, Germany"
"Kamenice, Kosovo"
"Kamenka, Russia"
"Kamen'-na-Obi, Russia"
"Kamen'-Rybolov, Russia"
"Kamensk-Shakhtinskiy, Russia"
"Kamensk-Ural'skiy, Russia"
"Kamenz, Germany"
"Kameoka, Japan"
"Kamepalle, India"
"Kameshkovo, Russia"
"Kameyama, Japan"
"Kamez, Albania"
"Kami, Japan"
"Kami, Japan"
"Kamiamakusa, Japan"
"Kamianets-Podilskyi, Ukraine"
"Kamianka, Ukraine"
"Kamianka-Buzka, Ukraine"
"Kamianka-Dniprovska, Ukraine"
"Kamianske, Ukraine"
"Kamidani, Japan"
"Kamien Pomorski, Poland"
"Kamienna Gora, Poland"
"Kamifurano, Japan"
"Kamigori, Japan"
"Kamiichi, Japan"
"Kamiimaizumi, Japan"
"Kamiita, Japan"
"Kamikawa, Japan"
"Kamikawa, Japan"
"Kami-kawabe, Japan"
"Kamikita-kita, Japan"
"Kamina, Congo (Kinshasa)"
"Kamin-Kashyrskyi, Ukraine"
"Kaminokawa, Japan"
"Kaminoyama, Japan"
"Kamirenjaku, Japan"
"Kamisato, Japan"
"Kamisu, Japan"
"Kamitonda, Japan"
"Kamituga, Congo (Kinshasa)"
"Kamlapur, India"
"Kamloops, Canada"
"Kamnik, Slovenia"
"Kamo, Japan"
"Kamonkoli, Uganda"
"Kampala, Uganda"
"Kampel, India"
"Kampen, Netherlands"
"Kampene, Congo (Kinshasa)"
"Kampenhout, Belgium"
"Kamphaeng Phet, Thailand"
"Kampli, India"
"Kamp-Lintfort, Germany"
"Kampong Cham, Cambodia"
"Kampong Chhnang, Cambodia"
"Kampong Speu, Cambodia"
"Kampong Thom, Cambodia"
"Kampong Thum, Cambodia"
"Kampong Trach, Cambodia"
"Kampong Tunah Jambu, Brunei"
"Kampot, Cambodia"
"Kampung Baharu Nilai, Malaysia"
"Kampung Tengah, Indonesia"
"Kamrawan, India"
"Kamrej, India"
"Kamsar, Guinea"
"Kamtaul, India"
"Kamthi, India"
"Kamudi, India"
"Kamuli, Uganda"
"Kamwenge, Uganda"
"Kamyshin, Russia"
"Kamyshlov, Russia"
"Kamyzyak, Russia"
"Kanabur, India"
"Kanada, Japan"
"Kanagicho, Japan"
"Kanajanahalli, India"
"Kanakir, Syria"
"Kanakpur, India"
"Kanal, Slovenia"
"Kanamadi, India"
"Kanan, Japan"
"Kananga, Congo (Kinshasa)"
"Kananya, Philippines"
"Kanasanapalle, India"
"Kanash, Russia"
"Kanasin, Mexico"
"Kanata, Canada"
"Kanavaikuli, India"
"Kanavaypatti, India"
"Kanavaypudur, India"
"Kanaya, Japan"
"Kanazawa, Japan"
"Kanbara, Japan"
"Kanchanaburi, Thailand"
"Kanchanadit, Thailand"
"Kanchanpalli, India"
"Kanchanpur, India"
"Kanchanpur, India"
"Kanchika, India"
"Kanchrapara, India"
"Kandahar, Afghanistan"
"Kandakkadava, India"
"Kandalaksha, Russia"
"Kandanati, India"
"Kandangan, Indonesia"
"Kandanur, India"
"Kandel, Germany"
"Kandela, India"
"Kandhkot, Pakistan"
"Kandi, Benin"
"Kandi, India"
"Kandiaro, Pakistan"
"Kanding, Taiwan"
"Kandira, Turkey"
"Kandiyankovil, India"
"Kandla Port, India"
"Kandori, Japan"
"Kandra, India"
"Kandrawan, India"
"Kandry, Russia"
"Kandukur, India"
"Kandulapuram, India"
"Kandy, Sri Lanka"
"Kanegasaki, Japan"
"Kanekallu, India"
"Kanel, Senegal"
"Kaneohe, United States"
"Kangaba, Mali"
"Kangal, Turkey"
"Kangan, India"
"Kangan, Iran"
"Kanganpur, Pakistan"
"Kangar, Malaysia"
"Kangaroo Flat, Australia"
"Kangasala, Finland"
"Kangayam, India"
"Kangazha, India"
"Kangbao, China"
"Kangersuatsiaq, Greenland"
"Kanggye, Korea, North"
"Kangning, China"
"Kangqiao, China"
"Kanhai, India"
"Kanhaipur, India"
"Kanhangad, India"
"Kanhauli Manohar, India"
"Kanhauli, India"
"Kani, Japan"
"Kaniama, Congo (Kinshasa)"
"Kani-Bonzon, Mali"
"Kanie, Japan"
"Kanifing, Gambia, The"
"Kanigiri, India"
"Kaniv, Ukraine"
"Kaniwara, India"
"Kaniyambadi, India"
"Kaniyur, India"
"Kanjikkovil, India"
"Kanjiza, Serbia"
"Kankaanpaa, Finland"
"Kankakee, United States"
"Kankan, Guinea"
"Kankanalapalle, India"
"Kankandighi, India"
"Kanke, India"
"Kankipadu, India"
"Kankol, India"
"Kankon, India"
"Kankuria, India"
"Kanmaki, Japan"
"Kannadiparamba, India"
"Kannal, India"
"Kannamanayakkanur, India"
"Kannamangalam Tekku, India"
"Kannamangalam, India"
"Kannamangalam, India"
"Kannampalaiyam, India"
"Kannan, Japan"
"Kannandahalli, India"
"Kannanendal, India"
"Kannankulam, India"
"Kannankurichchi, India"
"Kannapolis, United States"
"Kannapuram, India"
"Kannavam, India"
"Kanniparamba, India"
"Kannivadi, India"
"Kanniyakumari, India"
"Kanniyambram, India"
"Kannod, India"
"Kannudaiyampatti, India"
"Kannulu, India"
"Kano, Nigeria"
"Kanoni, Uganda"
"Kan'onjicho, Japan"
"Kanoya, Japan"
"Kanp, India"
"Kanpur, India"
"Kanra, Japan"
"Kanrangana, Mali"
"Kansas City, United States"
"Kansas City, United States"
"Kansk, Russia"
"Kant, Kyrgyzstan"
"Kantabanji, India"
"Kantai, India"
"Kantang, Thailand"
"Kanteru, India"
"Kantharalak, Thailand"
"Kantilo, India"
"Kanuma, Japan"
"Kanungu, Uganda"
"Kanur, India"
"Kanyakulam, India"
"Kanyana, India"
"Kanyato, Tanzania"
"Kanye, Botswana"
"Kanyobagonga, Congo (Kinshasa)"
"Kanzakimachi-kanzaki, Japan"
"Kaohsiung, Taiwan"
"Kaolack, Senegal"
"Kaoma, Zambia"
"Kaoni, India"
"Kaonke, India"
"Kaous, Algeria"
"Kapaa, United States"
"Kapadvanj, India"
"Kapakli, Turkey"
"Kapalong, Philippines"
"Kapan, Armenia"
"Kapangan, Philippines"
"Kapasiawan, India"
"Kapatagan, Philippines"
"Kapay, Philippines"
"Kapchagay, Kazakhstan"
"Kapchorwa, Uganda"
"Kapelebyong, Uganda"
"Kapelle, Netherlands"
"Kapellen, Belgium"
"Kapelle-op-den-Bos, Belgium"
"Kapenguria, Kenya"
"Kapfenberg, Austria"
"Kapiri Mposhi, Zambia"
"Kapoeta, South Sudan"
"Kapolei, United States"
"Kaposvar, Hungary"
"Kappeln, Germany"
"Kappiyara, India"
"Kapra, India"
"Kapsabet, Kenya"
"Kapurthala, India"
"Kapuvar, Hungary"
"Kapyl, Belarus"
"Kara, Togo"
"Karaagac, Turkey"
"Kara-Bak, Kyrgyzstan"
"Kara-Balta, Kyrgyzstan"
"Karabanovo, Russia"
"Karabash, Russia"
"Karabuk, Turkey"
"Karabulak, Russia"
"Karaburun, Turkey"
"Karacabey, Turkey"
"Karacasu, Turkey"
"Karachayevsk, Russia"
"Karachev, Russia"
"Karachi, Pakistan"
"Karacoban, Turkey"
"Karad, India"
"Karadge, India"
"Karadichittur, India"
"Karadipara, India"
"Karadka, India"
"Karaga, Ghana"
"Karagwe, Uganda"
"Karahal, India"
"Karahia, India"
"Karahrud, Iran"
"Karai, India"
"Karaikandi, India"
"Karaikkudi, India"
"Karaisali, Turkey"
"Karaiyampudur, India"
"Karaiyamputtur, India"
"Karaj, Iran"
"Karajgi, India"
"Karak, Indonesia"
"Karak, Pakistan"
"Karakax, China"
"Karakocan, Turkey"
"Karakol, Kyrgyzstan"
"Kara-Kol, Kyrgyzstan"
"Karakopru, Turkey"
"Karakthal, India"
"Kara-Kulja, Kyrgyzstan"
"Karakurisshi, India"
"Kara-Kyshtak, Kyrgyzstan"
"Karamadai, India"
"Karaman, Turkey"
"Karamay, China"
"Karambakkudi, India"
"Karamdiha, India"
"Karamken, Russia"
"Karamursel, Turkey"
"Karanchedu, India"
"Karanganyar, Indonesia"
"Karanja, India"
"Karanjia, India"
"Karankot, India"
"Karapa, India"
"Karapinar, Turkey"
"Karapurcek, Turkey"
"Kararan, India"
"Karariya, India"
"Karasburg, Namibia"
"Karasu, Turkey"
"Karasuk, Russia"
"Kara-Suu, Kyrgyzstan"
"Karatas, Turkey"
"Kara-Tash, Kyrgyzstan"
"Karatepe, Turkey"
"Karath, India"
"Karatsu, Japan"
"Karattuppalaiyam, India"
"Karaund, India"
"Karavalur, India"
"Karavan, Kyrgyzstan"
"Karavaram, India"
"Karawang, Indonesia"
"Karayazi, Turkey"
"Karayilan, Turkey"
"Karbala', Iraq"
"Karben, Germany"
"Karbinci, North Macedonia"
"Karcag, Hungary"
"Karczew, Poland"
"Karditsa, Greece"
"Kardla, Estonia"
"Kardzhali, Bulgaria"
"Karebilachi, India"
"Karedu, India"
"Kareli, India"
"Karema, Tanzania"
"Karempudi, India"
"Karera, India"
"Kargahia Purab, India"
"Kargat, Russia"
"Karghar, India"
"Kargi, Kenya"
"Kargil, India"
"Kargilik, China"
"Kargipinar, Turkey"
"Kargopol, Russia"
"Kari, India"
"Karia Ba Mohamed, Morocco"
"Karian, India"
"Karianga, Madagascar"
"Kariat Ben Aouda, Morocco"
"Kariba, Zimbabwe"
"Karibib, Namibia"
"Karikad, India"
"Karimama, Benin"
"Karimba, India"
"Karimganj, India"
"Karimkunnum, India"
"Karimnagar, India"
"Karimpur, India"
"Karimunjawa, Indonesia"
"Karippira, India"
"Karis, Finland"
"Karivalamvandanallur, India"
"Kariya, Japan"
"Kariya, Japan"
"Kariyapatti, India"
"Kariz, Iran"
"Karjan, India"
"Karjat, India"
"Karkala, India"
"Karkamb, India"
"Karkamis, Turkey"
"Karkkila, Finland"
"Karkudalpatti, India"
"Karlapalem, India"
"Karliova, Turkey"
"Karlivka, Ukraine"
"Karlovac, Croatia"
"Karlovo, Bulgaria"
"Karlovy Vary, Czechia"
"Karlsdorf-Neuthard, Germany"
"Karlsfeld, Germany"
"Karlshamn, Sweden"
"Karlskoga, Sweden"
"Karlskrona, Sweden"
"Karlsruhe, Germany"
"Karlstad, Sweden"
"Karma, India"
"Karmah an Nuzul, Sudan"
"Karmana, Uzbekistan"
"Karmaskaly, Russia"
"Karmauli, India"
"Karmegh, India"
"Karmiel, Israel"
"Karnal, India"
"Karnawad, India"
"Karnobat, Bulgaria"
"Karoi, Zimbabwe"
"Karonga, Malawi"
"Karor, India"
"Karpi, India"
"Karpinsk, Russia"
"Karpuzlu, Turkey"
"Karranah, Bahrain"
"Karrapur, India"
"Karratha, Australia"
"Kars, Turkey"
"Karsaut, India"
"Karsiyaka, Turkey"
"Karsiyang, India"
"Kartal, India"
"Kartal, Turkey"
"Kartaly, Russia"
"Kartarpur, India"
"Kartikapalli, India"
"Karttigappalli, India"
"Kartuzy, Poland"
"Karugamad, India"
"Karuhatan, Philippines"
"Karuizawa, Japan"
"Karukachal, India"
"Karukh, Afghanistan"
"Karukkalvadi, India"
"Karukurti, India"
"Karumandi Chellipalaiyam, India"
"Karumattampatti, India"
"Karumba, Australia"
"Karumulaikkal, India"
"Karunagapalli, India"
"Karungu, Kenya"
"Karuppur, India"
"Karuppur, India"
"Karur, India"
"Karuvakulam, India"
"Karuvambram, India"
"Karuvelampatti, India"
"Karuvellur, India"
"Karuveppampatti, India"
"Karuzi, Burundi"
"Karvarakundu, India"
"Karvetnagar, India"
"Karvina, Czechia"
"Karwar, India"
"Kas, Turkey"
"Kasaali, Uganda"
"Kasagi, Japan"
"Kasai, Japan"
"Kasaishi, Japan"
"Kasaji, Congo (Kinshasa)"
"Kasama, Japan"
"Kasama, Zambia"
"Kasamatsucho, Japan"
"Kasanda, Uganda"
"Kasane, Botswana"
"Kasangati, Uganda"
"Kasangulu, Congo (Kinshasa)"
"Kasaoka, Japan"
"Kasap, India"
"Kasaragod, India"
"Kasavanampatti, India"
"Kasba Maker, India"
"Kasba Pataspur, India"
"Kasba Tanora, Morocco"
"Kasba, India"
"Kasba, India"
"Kaseda-shirakame, Japan"
"Kasempa, Zambia"
"Kasese, Uganda"
"Kaset Wisai, Thailand"
"Kashaf, Iran"
"Kashan, Iran"
"Kashasha, Tanzania"
"Kashgar, China"
"Kashiba, Japan"
"Kashikishi, Zambia"
"Kashima, Japan"
"Kashima, Japan"
"Kashin, Russia"
"Kashipur, India"
"Kashiwa, Japan"
"Kashiwara, Japan"
"Kashiwara, Japan"
"Kashiwazaki, Japan"
"Kashkar-Kyshtak, Kyrgyzstan"
"Kashmar, Iran"
"Kashmor, Pakistan"
"Kashti, India"
"Kasibu, Philippines"
"Kasimkota, India"
"Kasimov, Russia"
"Kasipalaiyam, India"
"Kasli, Russia"
"Kasongan, Indonesia"
"Kasongo, Congo (Kinshasa)"
"Kasongo-Lunda, Congo (Kinshasa)"
"Kaspi, Georgia"
"Kaspiysk, Russia"
"Kaspiyskiy, Russia"
"Kasrawad, India"
"Kassa, Mali"
"Kassala, Sudan"
"Kassama, Mali"
"Kassaro, Mali"
"Kassel, Germany"
"Kasserine, Tunisia"
"Kassorola, Mali"
"Kastamonu, Turkey"
"Kastav, Croatia"
"Kastel Stari, Croatia"
"Kasterlee, Belgium"
"Kastoria, Greece"
"Kastsyukovichy, Belarus"
"Kasuga, Japan"
"Kasugai, Japan"
"Kasukabe, Japan"
"Kasulu, Tanzania"
"Kasumbalesa, Congo (Kinshasa)"
"Kasumi, Japan"
"Kasumigaura, Japan"
"Kasumpti, India"
"Kasungu, Malawi"
"Kasur, Pakistan"
"Kasuya, Japan"
"Katagami, Japan"
"Katagon, Benin"
"Kataha, India"
"Katahra, India"
"Katakos, India"
"Katakwi, Uganda"
"Katalpur, India"
"Katangi, India"
"Katangi, India"
"Katanning, Australia"
"Katano, Japan"
"Katarmala, India"
"Katav-Ivanovsk, Russia"
"Katerini, Greece"
"Katha, Burma"
"Kathanian, India"
"Katherine, Australia"
"Kathevaram, India"
"Kathmandu, Nepal"
"Kathri, Pakistan"
"Kathu, South Africa"
"Kathu, Thailand"
"Kathua, India"
"Kathurah, India"
"Kati, Mali"
"Katiena, Mali"
"Katigang, India"
"Katihar, India"
"Katima Mulilo, Namibia"
"Katiola, Côte d’Ivoire"
"Katipunan, Philippines"
"Katkol, India"
"Katlehong, South Africa"
"Kato Polemidia, Cyprus"
"Kato, Japan"
"Katoomba, Australia"
"Katori, Japan"
"Katosi, Uganda"
"Katowice, Poland"
"Katoya, India"
"Katpadi, India"
"Katra, India"
"Katravulapalle, India"
"Katri, India"
"Katridih, India"
"Katrineholm, Sweden"
"Katsepy, Madagascar"
"Katsina, Nigeria"
"Katsuragi, Japan"
"Katsuren-haebaru, Japan"
"Katsushika-ku, Japan"
